"Time";"Si ube";"Si Uc";"Si Ub";"Si Temp";"Si Ic";"Si Ib";"Si Beta";"Time";"SiC ube";"SiC Uc";"SiC Ub";"SiC Temp";"SiC Ic";"SiC Ib";"SiC Beta"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1682";"2781.904296875";"553.73291015625";"843.44970703125";"37";"1.0857508042279411";"0.05622998046875";"19.309108685"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1677";"2703.24462890625";"125.38818359375001";"278.8134765625";"37";"0.24585918351715688";"0.018587565104166665";"13.2270785409"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1679";"2732.83935546875";"242.98828125";"450.1513671875";"37";"0.47644761029411764";"0.030010091145833334";"15.8762466924"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1684";"2783.4619140625";"554.5117187499999";"842.6708984375";"37";"1.0872778799019605";"0.056178059895833334";"19.3541372187"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1683";"2773.33740234375";"482.08251953125";"753.88671875";"37";"0.9452598422181373";"0.050259114583333334";"18.8077297035"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1684";"2783.4619140625";"554.5117187499999";"842.6708984375";"37";"1.0872778799019605";"0.056178059895833334";"19.3541372187"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1686";"2800.595703125";"702.4853515625";"1018.6816406249999";"37";"1.3774222579656863";"0.06791210937499999";"20.2824248966"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1684";"2786.5771484375";"589.55810546875";"887.841796875";"37";"1.1559962852328431";"0.059189453125";"19.5304437564"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1678";"2703.24462890625";"125.38818359375001";"278.8134765625";"37";"0.24585918351715688";"0.018587565104166665";"13.2270785409"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1684";"2778.01025390625";"517.12890625";"799.0576171875";"37";"1.0139782475490196";"0.0532705078125";"19.0345143906"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1678";"2725.830078125";"211.8359375";"406.5380859375";"37";"0.4153645833333333";"0.0271025390625";"15.3256704981"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1678";"2719.599609375";"182.2412109375";"364.482421875";"37";"0.35733570772058826";"0.024298828125";"14.7058823529"
"1684";"689.24560546875";"806.845703125";"1389.39453125";"32";"2.6894856770833333";"0.029561585771276596";"90.9790732436";"1680";"2739.06982421875";"275.6982421875";"492.98583984375";"37";"0.5405847886029411";"0.03286572265625";"16.4482854753"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1694";"2784.24072265625";"555.29052734375";"842.6708984375";"36";"1.0888049555759804";"0.056178059895833334";"19.3813199957"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1691";"2747.63671875";"309.18701171875";"535.0415039062499";"36";"0.6062490425857843";"0.035669433593749994";"16.9963181779"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1688";"2728.16650390625";"212.61474609375";"405.75927734375";"36";"0.4168916590073529";"0.027050618489583334";"15.4115388958"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1684";"2659.63134765625";"31.931152343749996";"114.48486328125";"36";"0.06261010263480392";"0.00763232421875";"8.2032813125"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1690";"2753.08837890625";"341.89697265625";"579.43359375";"36";"0.6703862208946079";"0.03862890625";"17.3545224541"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1688";"2728.16650390625";"212.61474609375";"405.75927734375";"36";"0.4168916590073529";"0.027050618489583334";"15.4115388958"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1685";"2673.64990234375";"52.958984375";"153.42529296875";"36";"0.10384114583333333";"0.010228352864583333";"10.152284264"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1688";"2705.5810546875";"126.1669921875";"278.03466796875";"36";"0.24738625919117646";"0.01853564453125";"13.3465150766"
"1680";"688.466796875";"809.18212890625";"1390.17333984375";"32";"2.697273763020833";"0.0295781561668883";"91.1914098973";"1685";"2673.64990234375";"52.958984375";"153.42529296875";"36";"0.10384114583333333";"0.010228352864583333";"10.152284264"
